Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
01-01-2023,44.02197917,88.77802083,29.82729167,11.39520833,36.27583333,2.326666667,2.3428125,106
02-01-2023,39.48791667,64.8403125,23.53510417,11.32114583,24.771875,1.307708333,6.3740625,70
03-01-2023,51.11375,78.966875,25.70510417,11.356875,24.2146875,1.329479167,3.4553125,68
04-01-2023,55.60364583,81.48864583,21.08104167,11.07229167,22.58604167,1.027708333,5.218333333,74
05-01-2023,58.0440625,83.95114583,21.32552083,11.20729167,18.63833333,1.062395833,5.877083333,82
06-01-2023,55.727625,83.51988636,15.18934783,10.9165942,14.10565217,0.967355072,11.40699275,80
07-01-2023,62.17770833,90.07614583,19.72604167,11.12822917,14.29302083,1.173854167,10.52489583,86
08-01-2023,77.33375,113.3288542,30.07458333,11.74552083,18.75125,1.7684375,4.3709375,110
09-01-2023,42.04822917,82.7953125,39.54958333,12.50760417,20.2025,2.515104167,3.759166667,106
10-01-2023,45.19302083,73.11572917,22.83395833,11.418125,17.43302083,1.909791667,11.70927083,84
11-01-2023,55.98458333,69.303,31.8015625,11.7975,19.32166667,2.404791667,4.5221875,86
12-01-2023,49.53041667,80.180625,35.66291667,12.0725,19.90677083,2.029270833,4.949270833,73
13-01-2023,52.1046875,71.21041667,34.83791667,11.75635417,24.84916667,2.102708333,4.75875,80
14-01-2023,47.19552083,67.31229167,35.323125,11.47947917,30.6953125,1.891041667,4.0534375,79
15-01-2023,30.24197917,46.2128125,20.8015625,10.84885417,25.31333333,0.84,6.116770833,48
16-01-2023,37.46458333,46.68857143,32.4090625,11.84385417,20.569375,0.9790625,5.806770833,47
17-01-2023,75.93666667,116.0571429,30.84416667,12.0065625,16.6509375,1.032083333,17.66927083,101
18-01-2023,64.2875,117.3797917,36.1928125,12.32677083,16.7953125,1.23625,18.72510417,121
19-01-2023,84.77760417,154.9804167,52.21447917,12.233125,25.47958333,2.747291667,5.272604167,117
20-01-2023,68.36697917,141.4522917,56.24614583,12.85354167,29.54677083,2.607291667,3.2859375,149
21-01-2023,50.64555556,114.0034722,37.54722222,11.09916667,26.26291667,2.499444444,7.974305556,74
22-01-2023,54.88166667,115.5378125,37.19177083,10.99958333,32.97197917,2.7984375,2.771770833,101
23-01-2023,45.14522727,107.1893182,38.14829545,10.82238636,33.80431818,3.055909091,2.613977273,73
24-01-2023,36.515,90.32145833,31.8915625,11.08802083,29.71239583,1.681041667,3.490520833,78
25-01-2023,46.28322917,111.1223958,28.90947917,11.0734375,23.1246875,1.171041667,4.259270833,79
26-01-2023,29.81677083,63.104375,18.51802083,10.261875,16.39020833,0.669166667,3.3671875,70
27-01-2023,25.68541667,57.1146875,14.7315625,10.10739583,27.5759375,0.363541667,3.451145833,40
28-01-2023,22.3921875,59.03125,23.3984375,10.81770833,26.37375,0.4784375,4.692916667,51
29-01-2023,35.12322917,96.33625,41.456875,11.96239583,27.57729167,1.120625,4.171041667,68
30-01-2023,34.303125,82.92729167,34.54979167,11.70114583,27.753125,0.885833333,4.310416667,71
31-01-2023,24.01825,56.983625,19.44563492,10.76904762,21.58051587,0.415039683,8.575039683,54
01-02-2023,17.29364583,43.01552083,14.68208333,10.4534375,19.8740625,0.18,7.086145833,39
02-02-2023,19.48239583,51.24333333,18.55770833,10.82864583,17.341875,0.311666667,14.75854167,42
03-02-2023,20.47135417,54.309375,22.5771875,11.03541667,22.70635417,0.40125,6.674895833,44
04-02-2023,19.97673913,59.3051087,22.47989583,11.07572917,19.70583333,0.411458333,9.607083333,49
05-02-2023,20.65543478,59.57782609,26.008125,11.12635417,24.13041667,0.545833333,7.9975,45
06-02-2023,23.75072917,64.97125,29.87739583,11.354375,23.9734375,0.725520833,7.58,55
07-02-2023,17.5246875,59.65364583,27.70822917,11.07947917,24.05072917,0.5390625,8.099583333,58
08-02-2023,17.43347826,52.53852273,21.39173913,10.77427083,20.88677083,0.309270833,12.06322917,48
09-02-2023,17.38583333,60.89041667,25.97114583,11.4221875,14.86625,0.580208333,25.19302083,51
10-02-2023,24.81208333,93.52885417,45.57666667,11.60635417,28.18114583,1.9046875,6.829375,74
11-02-2023,21.66864583,75.106875,37.120625,11.52,34.754375,0.9034375,7.118958333,76
12-02-2023,13.91510417,60.7903125,18.3490625,10.57916667,30.36447917,0.216354167,9.129166667,49
13-02-2023,11.39197917,59.15208333,15.15666667,10.65125,22.0734375,0.166145833,14.06833333,48
14-02-2023,16.97395833,54.810625,22.96270833,11.1734375,25.19364583,0.374583333,10.60229167,50
15-02-2023,28.34739583,81.1690625,30.42822917,11.47125,21.21197917,0.91625,11.03875,62
16-02-2023,37.78208333,105.6983333,50.67864583,12.44708333,29.07520833,1.43625,8.4646875,94
17-02-2023,38.77552632,107.3006579,49.29074561,12.33644737,26.29074561,1.245394737,8.775877193,82
18-02-2023,36.06416667,98.583125,43.34677083,11.63083333,31.91458333,1.302604167,7.762604167,84
19-02-2023,41.66916667,104.9836458,39.98395833,11.18177083,36.48541667,1.462604167,8.155729167,85
20-02-2023,32.59958333,91.3503125,39.47708333,13.46520833,25.61583333,1.678854167,14.97541667,76
21-02-2023,26.3421875,94.12875,43.91572917,11.601875,17.43125,1.8196875,13.8021875,71
22-02-2023,19.71697917,65.43510417,32.86520833,11.4484375,21.63583333,0.846979167,18.87229167,61
23-02-2023,17.93604167,61.525,23.00354167,11.0615625,15.5665625,0.46125,13.29927083,50
24-02-2023,20.6790625,61.00677083,28.98229167,11.15552083,25.9684375,0.560520833,11.94802083,55
25-02-2023,24.59885417,82.17583333,38.82354167,13.06208333,11.23791667,1.219166667,13.2475,64
26-02-2023,24.0278125,84.8371875,42.60802083,12.4175,12.70833333,1.435,19.54385417,73
27-02-2023,23.79447917,84.40041667,45.31479167,13.44302083,13.16145833,1.644895833,17.29927083,69
28-02-2023,27.45333333,93.87447917,43.7828125,13.45270833,13.78916667,1.618020833,17.23614583,82
01-03-2023,23.17739583,83.8171875,47.8328125,12.36572917,18.9409375,1.268125,9.2621875,66
02-03-2023,20.92708333,73.63645833,24.93375,11.046875,13.12947917,0.614166667,21.34354167,66
03-03-2023,19.32692308,69.13173077,17.75576923,10.38115385,12.31596154,0.427115385,12.93211538,54
04-03-2023,13.2905,59.41692308,15.5215,10.78383333,13.38533333,0.406277778,24.84733333,51
05-03-2023,14.66552083,60.52208333,13.29427083,10.5815625,11.8615625,0.355625,18.00791667,50
06-03-2023,14.45020833,50.2634375,19.99927083,10.9115625,11.96322917,0.4628125,19.21385417,52
07-03-2023,23.9840625,67.28625,19.96739583,10.969375,12.42333333,0.621458333,22.55604167,70
08-03-2023,22.945,56.071875,12.9115625,10.60052083,12.80583333,0.651354167,23.1478125,54
09-03-2023,16.83979167,46.34770833,12.06625,10.13520833,21.45572917,0.380833333,9.409166667,46
10-03-2023,15.99065972,48.76128472,27.38270833,10.80638889,38.79482639,0.460972222,6.157152778,49
11-03-2023,19.05729167,55.03239583,29.61583333,11.00729167,42.70052083,0.6034375,6.4678125,48
12-03-2023,23.14989583,68.51083333,34.4196875,11.19458333,45.48927083,0.939270833,6.955,60
13-03-2023,29.74520833,78.97854167,36.21166667,11.98666667,28.57375,0.9146875,20.2775,66
14-03-2023,64.27760417,126.8276042,32.69447917,11.984375,13.34677083,0.812291667,26.2846875,101
15-03-2023,57.24947917,117.3584375,36.44260417,12.67916667,13.67802083,0.919479167,24.6834375,91
16-03-2023,56.55854167,122.7115625,44.42333333,12.86229167,14.06947917,1.020104167,24.87020833,99
17-03-2023,48.0509375,89.02954545,26.054375,11.56729167,13.98885417,0.6103125,24.4503125,71
18-03-2023,73.50675,114.9675,19.23068182,11.23022727,13.55590909,0.624545455,13.06204545,86
19-03-2023,,,,,,,,56
20-03-2023,32.5275,61.7165,14.131,10.6715,12.14266667,0.5084375,9.9795,46
21-03-2023,43.01615079,66.97103175,15.73325397,10.76956349,13.10246032,0.609920635,13.7018254,56
22-03-2023,24.98865385,41.19,8.640961538,9.988461538,12.30423077,0.2675,9.407115385,46
23-03-2023,38.24232143,75.03357143,27.7325,12.57821429,14.48982143,0.821785714,25.45696429,53
24-03-2023,56.72235294,112.1142647,21.10029412,11.14411765,14.35691176,0.967647059,20.97661765,82
25-03-2023,41.49846154,83.04641026,29.67269231,11.95576923,13.49711538,0.643630952,48.70237179,78
26-03-2023,47.20958333,90.35277778,18.19861111,11.13027778,13.22375,0.424444444,25.67152778,80
27-03-2023,25.69708333,66.34333333,7.155,10.08125,12.88541667,0.1175,25.30916667,50
28-03-2023,33.03678571,73.64964286,29.31607143,12.12285714,15.16821429,0.549285714,26.79821429,75
29-03-2023,45.3,97.39458333,38.86614583,12.7896875,15.17875,0.875416667,18.04802083,75
30-03-2023,50.4096875,111.0388542,41.49541667,12.90760417,15.02739583,0.859479167,26.94833333,96
31-03-2023,26.31295455,53.93011364,20.96420455,10.71909091,19.47939394,0.312954545,15.12295455,56
01-04-2023,27.8635,55.19866667,26.83875,12.1640625,14.393125,0.603676471,16.88875,35
02-04-2023,39.0046875,68.44385417,17.46,10.7209375,13.05822917,0.46625,17.611875,61
03-04-2023,36.26193182,74.95204545,28.90554348,13.20460145,10.91246377,1.097789855,23.47492754,52
04-04-2023,40.09833333,109.1345833,32.31947368,11.00241228,15.74640351,0.593026316,24.85899123,78
05-04-2023,28.14229167,74.3275,21.64020833,10.75302083,16.79041667,0.263020833,14.434375,66
06-04-2023,34.75072917,84.43104167,34.86125,11.8490625,16.34625,0.502291667,18.13260417,82
07-04-2023,32.80760417,89.01520833,30.41270833,11.544375,15.16364583,0.384895833,23.65770833,76
08-04-2023,38.9709375,102.3342708,36.90416667,12.05666667,15.36947917,0.516041667,25.05083333,90
09-04-2023,35.88177083,97.40760417,31.96,11.69291667,15.76885417,0.452708333,26.45572917,100
10-04-2023,32.45125,100.9433333,26.70833333,12.36708333,16.72416667,0.516666667,28.43125,94
11-04-2023,29.44068182,85.31568182,28.985625,11.42645833,14.95770833,0.352916667,41.00833333,87
12-04-2023,36.70763158,98.79934211,29.147875,11.472875,15.091,0.38075,28.587125,88
13-04-2023,37.5996875,105.7364583,36.395625,12.473125,15.76083333,0.7059375,30.36833333,98
14-04-2023,41.176875,107.599,49.98741667,12.40675,17.27233333,0.831791667,24.28475,98
15-04-2023,55.29770833,141.8210417,47.95666667,13.06583333,16.7725,0.855833333,25.44,104
16-04-2023,,,,,,,,87
17-04-2023,39.84270833,113.5441667,44.35807692,14.31346154,16.15,1.332884615,43.24019231,99
18-04-2023,35.7875,96.39927083,38.91270833,11.9453125,15.69541667,0.614166667,28.56416667,97
19-04-2023,34.17214286,95.56261905,23.21076087,11.29532609,18.41673913,0.307173913,35.70224638,84
20-04-2023,35.0125,106.7511111,24.19847222,11.00027778,33.23875,0.361666667,25.24425,85
21-04-2023,23.50214286,79.47714286,14.23285714,11.05446429,8.03375,0.127321429,37.61571429,71
22-04-2023,24.96722222,58.68694444,35.56333333,13.20055556,8.733888889,0.375277778,36.0525,52
23-04-2023,22.6009375,77.41072917,20.86270833,11.69489583,8.389375,0.153125,43.44395833,56
24-04-2023,26.49742754,66.75985507,16.90694444,11.36784722,8.298819444,0.276388889,46.48201389,66
25-04-2023,29.19125,51.69822917,27.23395833,12.35072917,8.613541667,0.579270833,62.83586806,64
26-04-2023,49.83979167,87.18989583,35.74927083,13.1146875,10.00916667,0.712916667,62.38475694,104
27-04-2023,24.2315625,52.75385417,24.23822917,12.09427083,9.145833333,0.401666667,58.66440972,62
28-04-2023,28.25083333,62.99322917,23.21645833,11.920625,9.337291667,0.288645833,52.7075,65
29-04-2023,18.813125,44.4253125,16.84,11.17666667,9.722083333,0.245416667,46.74666667,50
30-04-2023,23.73954545,73.54431818,14.47854167,11.04760417,9.420104167,0.205,32.64354167,47
01-05-2023,23.90291667,97.765,16.50369048,11.18845238,13.38142857,0.370238095,39.98420635,59
02-05-2023,22.84034091,44.59852273,17.61613636,11.48568182,10.20840909,0.327173913,47.04094697,49
03-05-2023,22.753875,43.88225,14.81847826,11.27695652,9.103695652,0.214673913,55.28397727,50
04-05-2023,17.87535714,31.20702381,8.966979167,10.5934375,8.339270833,0.174791667,47.28729167,49
05-05-2023,30.00635417,48.82166667,17.351875,11.36270833,8.824375,0.310833333,46.18625,52
06-05-2023,39.0234375,69.164375,21.11104167,11.66208333,9.880625,0.349895833,50.80545139,55
07-05-2023,34.0675,73.05208333,28.45895833,12.87645833,8.994479167,0.635625,46.11899306,60
08-05-2023,46.04575,100.4467045,42.75851449,13.38467391,11.85152174,1.08923913,35.18202899,73
09-05-2023,34.10822917,81.85572917,28.07458333,11.82666667,9.91375,0.425520833,40.79958333,70
10-05-2023,28.38583333,77.23882353,23.07558824,11.7825,9.104901961,0.305,50.53117647,62
11-05-2023,32.5740625,77.0315625,34.18791667,13.961875,9.967604167,0.946458333,52.57739583,70
12-05-2023,51.91608696,116.8279348,58.9778125,14.61625,12.9078125,1.506041667,46.94104167,82
13-05-2023,52.62739583,110.6661458,44.03375,13.73260417,12.29510417,1.05625,49.26104167,81
14-05-2023,44.8603125,101.8833333,29.606875,12.60208333,11.41447917,0.822291667,55.35072917,79
15-05-2023,46.17852273,130.9529545,41.82871212,13.85534091,12.78026515,1.394772727,46.49966667,76
