Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,37.25,83.81,4.75,19.0,24.98,3.28,47.59,1.06,4.34,0.21,,,,0.11,0.63,13.16,88.22,0.36,172.44,0.0,0.0,117.81,999.5,
2024-01-02,58.41,131.43,25.83,22.74,59.23,3.12,49.28,2.59,4.81,0.52,,,,0.27,1.55,15.94,82.34,0.23,127.16,0.0,0.0,206.17,998.43,
2024-01-03,47.94,108.62,12.6,20.78,38.11,3.29,50.21,1.92,4.5,0.38,,,,0.2,1.15,16.33,88.65,0.32,148.92,0.0,0.0,144.76,997.98,
2024-01-04,31.19,77.97,14.53,16.86,37.19,2.83,51.35,1.66,4.61,0.33,,,,0.17,1.0,16.83,90.92,0.23,122.88,0.0,0.0,154.06,998.07,
2024-01-05,26.32,65.81,7.96,13.52,24.44,2.79,38.33,1.37,4.26,0.27,,,,0.14,0.82,16.62,91.86,0.34,156.57,0.0,0.0,77.2,998.72,
2024-01-06,21.83,54.57,4.37,10.77,16.6,2.6,25.49,1.09,4.14,0.22,,,,0.11,0.66,18.26,89.85,0.31,149.96,0.0,0.0,156.97,999.48,
2024-01-07,21.57,53.92,2.95,10.75,14.51,2.51,25.96,0.89,4.54,0.18,,,,0.09,0.53,18.59,85.59,0.28,122.59,0.0,0.0,178.95,1000.46,
2024-01-08,22.72,56.8,7.23,14.52,24.33,2.72,26.51,1.03,5.48,0.2,,,,0.11,0.62,18.4,84.04,0.21,120.42,0.0,0.0,263.0,1000.44,
2024-01-09,24.37,60.93,4.67,18.8,24.67,3.16,27.16,1.13,6.12,0.23,,,,0.12,0.68,18.73,82.09,0.26,134.73,0.0,0.0,266.2,999.27,
2024-01-10,16.88,42.21,1.79,9.26,11.41,2.39,27.51,0.62,5.36,0.12,,,,0.06,0.37,17.76,78.44,0.4,133.35,0.0,0.0,259.84,998.17,
2024-01-11,17.77,44.44,2.38,12.19,15.05,2.66,27.53,0.68,5.01,0.14,,,,0.07,0.41,14.34,84.23,0.28,135.76,0.0,0.0,185.17,1000.24,
2024-01-12,28.94,72.35,1.97,14.81,16.95,2.92,27.46,1.03,4.7,0.21,,,,0.11,0.62,12.75,88.72,0.28,135.39,0.0,0.0,163.98,999.56,
2024-01-13,24.98,62.44,2.22,13.81,16.35,2.87,27.63,1.0,6.0,0.2,,,,0.1,0.6,13.47,83.11,0.4,147.06,0.0,0.0,254.31,998.81,
2024-01-14,26.19,65.48,1.94,14.33,16.44,3.03,28.06,1.13,4.79,0.22,,,,0.12,0.67,12.01,89.71,0.39,167.16,0.0,0.0,147.48,998.51,
2024-01-15,29.02,72.56,2.13,11.5,14.03,2.78,28.07,1.0,6.63,0.2,,,,0.1,0.6,12.71,80.71,0.3,124.49,0.0,0.0,206.17,998.06,
